Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2020,3509,3446,3983,10856,9700,8738,8005,6749,6091,5525,5511,5563
2021,5884,5737,5425,5047,4806,5030,4627,4290,3877,3470,,
