DATE,GDP
1/1/2019,21001.591
4/1/2019,21289.268
7/1/2019,21505.012
10/1/2019,21694.458
1/1/2020,21481.367
4/1/2020,19477.444
7/1/2020,21138.574
10/1/2020,21477.597
1/1/2021,22038.226
4/1/2021,22740.959
7/1/2021,23187.042
